
	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4031.58 	###

	### 67           	#  3693.25 	###

	### brawl_stars  	#  3427.48 	###

	### jet2holiday  	#  3137.73 	###

	### qwer         	#  2350.93 	###

	### GigaBot      	#  2094.62 	###

	### sudo         	#  1656.80 	###

	### RandomBot67  	#  1524.65 	###

	### 67 Random Search v2 	#   894.67 	###

	### Tier 3 Agent 	#   691.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   121.14 	###

	###              	#   110.67 	###

	### NikhilxCamilo 	#     0.00 	###

	### TA - Tier 1 Agent 	# -1040.61 	###

	### orange       	# -2025.36 	###

	###########################################


	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  7675.37 	###

	###              	#  4770.34 	###

	### RandomBot67  	#  2889.29 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1715.68 	###

	### HTandRX's Agent 	#  1178.11 	###

	### 67 Random Search v2 	#  1028.56 	###

	### 67           	#   902.97 	###

	### jet2holiday  	#   849.08 	###

	### TA - Tier 1 Agent 	#   455.54 	###

	### sudo         	#   326.86 	###

	### Tier 3 Agent 	#    -2.49 	###

	### GigaBot      	#   -18.63 	###

	### NikhilxCamilo 	#  -218.37 	###

	### orange       	#  -243.58 	###

	### brawl_stars  	# -1027.21 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  4171.40 	###

	### 67           	#  3324.54 	###

	###              	#  3293.48 	###

	### RandomBot67  	#  3180.55 	###

	### HTandRX's Agent 	#  2791.25 	###

	### jet2holiday  	#  2592.29 	###

	### GigaBot      	#  2420.28 	###

	### brawl_stars  	#  1939.38 	###

	### orange       	#  1386.17 	###

	### TA - Dust II B Anchor (Tier 2) 	#   316.72 	###

	### 67 Random Search v2 	#    32.47 	###

	### Tier 3 Agent 	#    -7.34 	###

	### NikhilxCamilo 	#   -39.17 	###

	### sudo         	#   -58.40 	###

	### TA - Tier 1 Agent 	#  -697.23 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  4357.46 	###

	### brawl_stars  	#  4189.93 	###

	### RandomBot67  	#  3808.85 	###

	### HTandRX's Agent 	#  2484.57 	###

	### NikhilxCamilo 	#  2222.41 	###

	### 67 Random Search v2 	#  1817.93 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1265.03 	###

	###              	#   796.36 	###

	### GigaBot      	#   310.06 	###

	### orange       	#   206.18 	###

	### 67           	#     0.00 	###

	### jet2holiday  	#     0.00 	###

	### Tier 3 Agent 	#    -6.34 	###

	### TA - Tier 1 Agent 	#  -578.33 	###

	### qwer         	#  -581.51 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  5106.38 	###

	### qwer         	#  3544.93 	###

	###              	#  1867.30 	###

	### GigaBot      	#  1683.64 	###

	### jet2holiday  	#  1515.97 	###

	### sudo         	#  1347.58 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1313.49 	###

	### orange       	#   968.15 	###

	### 67           	#   931.00 	###

	### 67 Random Search v2 	#   545.12 	###

	### brawl_stars  	#   493.09 	###

	### HTandRX's Agent 	#    65.29 	###

	### NikhilxCamilo 	#     6.77 	###

	### Tier 3 Agent 	#    -5.35 	###

	### TA - Tier 1 Agent 	# -1053.75 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3156.28 	###

	### 67           	#  2848.82 	###

	### qwer         	#  2826.13 	###

	### sudo         	#  2363.67 	###

	###              	#  1846.83 	###

	### RandomBot67  	#  1846.72 	###

	### jet2holiday  	#  1180.35 	###

	### 67 Random Search v2 	#  1013.14 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1008.46 	###

	### orange       	#   789.74 	###

	### GigaBot      	#   573.62 	###

	### Tier 3 Agent 	#   -10.38 	###

	### NikhilxCamilo 	#   -61.10 	###

	### TA - Tier 1 Agent 	#  -650.55 	###

	### brawl_stars  	# -1255.10 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4177.58 	###

	### 67           	#  3549.79 	###

	### HTandRX's Agent 	#  3457.80 	###

	### qwer         	#  2036.35 	###

	### brawl_stars  	#  1408.56 	###

	### NikhilxCamilo 	#  1397.76 	###

	### jet2holiday  	#   747.81 	###

	### RandomBot67  	#   724.05 	###

	###              	#   680.71 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#   -10.23 	###

	### TA - Tier 1 Agent 	#  -102.91 	###

	### sudo         	#  -272.37 	###

	### TA - Dust II B Anchor (Tier 2) 	#  -337.55 	###

	### orange       	# -1932.08 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4780.11 	###

	### HTandRX's Agent 	#  3780.69 	###

	###              	#  2462.31 	###

	### qwer         	#  2422.71 	###

	### sudo         	#  2266.89 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1981.40 	###

	### brawl_stars  	#  1118.91 	###

	### jet2holiday  	#   805.08 	###

	### 67           	#   625.35 	###

	### RandomBot67  	#   568.99 	###

	### NikhilxCamilo 	#   421.76 	###

	### 67 Random Search v2 	#    44.87 	###

	### Tier 3 Agent 	#    -3.92 	###

	### orange       	#  -816.51 	###

	### TA - Tier 1 Agent 	# -3759.01 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  2602.89 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2044.35 	###

	### sudo         	#  2037.92 	###

	### GigaBot      	#  1992.99 	###

	### HTandRX's Agent 	#  1879.84 	###

	### 67 Random Search v2 	#  1832.90 	###

	### RandomBot67  	#  1643.14 	###

	### qwer         	#  1151.72 	###

	### jet2holiday  	#  1050.17 	###

	### NikhilxCamilo 	#   860.94 	###

	### 67           	#    58.08 	###

	### Tier 3 Agent 	#    -9.61 	###

	### brawl_stars  	# -1061.86 	###

	### TA - Tier 1 Agent 	# -1744.47 	###

	### orange       	# -2810.67 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### NikhilxCamilo 	#  3790.01 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2996.05 	###

	### RandomBot67  	#  2156.34 	###

	###              	#  2095.36 	###

	### orange       	#  1906.01 	###

	### HTandRX's Agent 	#  1788.83 	###

	### qwer         	#  1560.68 	###

	### sudo         	#  1306.49 	###

	### GigaBot      	#   692.91 	###

	### brawl_stars  	#   656.40 	###

	### 67           	#   531.66 	###

	### jet2holiday  	#   142.66 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#    -3.67 	###

	### TA - Tier 1 Agent 	#  -167.12 	###

	###########################################

	@@@ WINNER: NikhilxCamilo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  4318.93 	###

	### HTandRX's Agent 	#  4048.04 	###

	### NikhilxCamilo 	#  3099.54 	###

	###              	#  2622.03 	###

	### brawl_stars  	#  1241.62 	###

	### sudo         	#   968.19 	###

	### 67           	#   830.87 	###

	### RandomBot67  	#   786.18 	###

	### 67 Random Search v2 	#   462.71 	###

	### TA - Dust II B Anchor (Tier 2) 	#   170.45 	###

	### GigaBot      	#   167.48 	###

	### Tier 3 Agent 	#    -3.78 	###

	### orange       	#  -147.00 	###

	### jet2holiday  	#  -154.72 	###

	### TA - Tier 1 Agent 	#  -549.48 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3353.86 	###

	### GigaBot      	#  3263.06 	###

	### RandomBot67  	#  3030.87 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2841.30 	###

	### sudo         	#  2310.24 	###

	### 67           	#  1824.32 	###

	### qwer         	#  1821.57 	###

	### NikhilxCamilo 	#  1459.85 	###

	### TA - Tier 1 Agent 	#  1360.50 	###

	### brawl_stars  	#  1335.13 	###

	### HTandRX's Agent 	#   497.50 	###

	### 67 Random Search v2 	#    44.49 	###

	###              	#    -3.44 	###

	### Tier 3 Agent 	#    -3.80 	###

	### orange       	# -1286.67 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  2395.57 	###

	### 67 Random Search v2 	#  2379.68 	###

	###              	#  2069.44 	###

	### 67           	#  1942.53 	###

	### HTandRX's Agent 	#  1914.68 	###

	### NikhilxCamilo 	#  1571.32 	###

	### sudo         	#  1375.13 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1241.95 	###

	### brawl_stars  	#   969.29 	###

	### jet2holiday  	#   883.42 	###

	### GigaBot      	#     4.65 	###

	### Tier 3 Agent 	#    -3.80 	###

	### TA - Tier 1 Agent 	#  -189.04 	###

	### qwer         	#  -231.59 	###

	### orange       	# -1050.15 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  5498.41 	###

	### HTandRX's Agent 	#  3390.98 	###

	### sudo         	#  3316.99 	###

	### GigaBot      	#  2191.89 	###

	### RandomBot67  	#  1359.90 	###

	### qwer         	#  1132.37 	###

	### TA - Dust II B Anchor (Tier 2) 	#   943.91 	###

	### 67           	#   829.48 	###

	### Tier 3 Agent 	#   297.24 	###

	### brawl_stars  	#   269.22 	###

	### jet2holiday  	#   253.51 	###

	### 67 Random Search v2 	#   220.94 	###

	### NikhilxCamilo 	#  -238.83 	###

	### orange       	#  -462.15 	###

	### TA - Tier 1 Agent 	# -1970.83 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4272.86 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2898.17 	###

	### 67 Random Search v2 	#  2375.77 	###

	### RandomBot67  	#  2160.03 	###

	### jet2holiday  	#  2140.12 	###

	### qwer         	#  1500.48 	###

	### 67           	#  1263.49 	###

	### orange       	#  1074.21 	###

	### GigaBot      	#   875.22 	###

	###              	#   817.30 	###

	### HTandRX's Agent 	#   734.63 	###

	### sudo         	#   233.43 	###

	### Tier 3 Agent 	#    -4.60 	###

	### NikhilxCamilo 	#  -150.26 	###

	### TA - Tier 1 Agent 	# -1008.62 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  5031.20 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2985.21 	###

	### brawl_stars  	#  2925.00 	###

	###              	#  2840.52 	###

	### sudo         	#  2129.22 	###

	### orange       	#  1728.78 	###

	### NikhilxCamilo 	#  1396.16 	###

	### HTandRX's Agent 	#  1124.03 	###

	### RandomBot67  	#  1083.48 	###

	### GigaBot      	#   866.87 	###

	### 67 Random Search v2 	#   172.74 	###

	### jet2holiday  	#     2.99 	###

	### Tier 3 Agent 	#   -23.34 	###

	### qwer         	#   -59.88 	###

	### TA - Tier 1 Agent 	# -2396.24 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Tier 1 Agent 	#  4106.93 	###

	###              	#  4085.81 	###

	### qwer         	#  3399.44 	###

	### 67           	#  3060.50 	###

	### sudo         	#  2768.21 	###

	### 67 Random Search v2 	#  2686.16 	###

	### HTandRX's Agent 	#  1621.62 	###

	### jet2holiday  	#  1445.98 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1306.65 	###

	### RandomBot67  	#   391.73 	###

	### NikhilxCamilo 	#   154.17 	###

	### orange       	#    -5.69 	###

	### Tier 3 Agent 	#    -7.22 	###

	### GigaBot      	#  -205.37 	###

	### brawl_stars  	#  -435.81 	###

	###########################################

	@@@ WINNER: TA - Tier 1 Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  2954.01 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2817.19 	###

	### 67 Random Search v2 	#  2539.56 	###

	### 67           	#  2406.16 	###

	### qwer         	#  2030.24 	###

	### GigaBot      	#  1896.87 	###

	### NikhilxCamilo 	#  1138.78 	###

	###              	#   820.89 	###

	### jet2holiday  	#   618.87 	###

	### RandomBot67  	#   532.77 	###

	### sudo         	#   517.04 	###

	### orange       	#   411.67 	###

	### brawl_stars  	#   373.10 	###

	### Tier 3 Agent 	#     4.90 	###

	### TA - Tier 1 Agent 	#  -134.07 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  5899.09 	###

	###              	#  4099.36 	###

	### HTandRX's Agent 	#  3947.37 	###

	### GigaBot      	#  3351.79 	###

	### TA - Tier 1 Agent 	#  1475.79 	###

	### orange       	#  1308.27 	###

	### sudo         	#  1146.90 	###

	### brawl_stars  	#  1054.09 	###

	### 67           	#   976.87 	###

	### qwer         	#   958.13 	###

	### 67 Random Search v2 	#   579.14 	###

	### TA - Dust II B Anchor (Tier 2) 	#   392.82 	###

	### Tier 3 Agent 	#    -3.61 	###

	### NikhilxCamilo 	#  -484.51 	###

	### jet2holiday  	#  -661.08 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### NikhilxCamilo 	#  3931.22 	###

	### HTandRX's Agent 	#  3917.86 	###

	### sudo         	#  3601.93 	###

	### GigaBot      	#  2501.79 	###

	### 67           	#  2245.05 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1461.29 	###

	### brawl_stars  	#  1011.07 	###

	### orange       	#   661.32 	###

	### qwer         	#   599.15 	###

	### RandomBot67  	#   381.70 	###

	###              	#   121.83 	###

	### jet2holiday  	#    34.29 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#   -11.20 	###

	### TA - Tier 1 Agent 	# -1053.40 	###

	###########################################

	@@@ WINNER: NikhilxCamilo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  5188.19 	###

	### sudo         	#  3615.33 	###

	### 67           	#  3353.14 	###

	### HTandRX's Agent 	#  2188.67 	###

	### brawl_stars  	#  2128.95 	###

	### orange       	#  1458.72 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1267.26 	###

	### qwer         	#  1237.27 	###

	### jet2holiday  	#   915.76 	###

	### RandomBot67  	#   874.01 	###

	### TA - Tier 1 Agent 	#   161.88 	###

	### NikhilxCamilo 	#    45.81 	###

	### 67 Random Search v2 	#    21.29 	###

	### Tier 3 Agent 	#    -0.45 	###

	### GigaBot      	#    -6.27 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4323.52 	###

	### brawl_stars  	#  3985.76 	###

	### 67           	#  3760.42 	###

	### RandomBot67  	#  2951.16 	###

	### NikhilxCamilo 	#  2087.03 	###

	### sudo         	#  1579.75 	###

	### 67 Random Search v2 	#  1496.80 	###

	### qwer         	#   964.21 	###

	### Tier 3 Agent 	#   577.65 	###

	### HTandRX's Agent 	#   484.99 	###

	###              	#   177.11 	###

	### jet2holiday  	#  -163.61 	###

	### GigaBot      	#  -195.43 	###

	### orange       	#  -377.13 	###

	### TA - Tier 1 Agent 	#  -894.45 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  5559.59 	###

	### jet2holiday  	#  4209.36 	###

	### sudo         	#  2115.98 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1906.95 	###

	### GigaBot      	#  1811.34 	###

	### NikhilxCamilo 	#  1475.14 	###

	### 67 Random Search v2 	#   929.95 	###

	### qwer         	#   888.05 	###

	###              	#   843.12 	###

	### RandomBot67  	#   645.97 	###

	### HTandRX's Agent 	#   463.85 	###

	### TA - Tier 1 Agent 	#    85.36 	###

	### 67           	#    17.56 	###

	### Tier 3 Agent 	#   -10.68 	###

	### orange       	#  -400.50 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4415.32 	###

	### TA - Tier 1 Agent 	#  2317.29 	###

	### RandomBot67  	#  1559.36 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1522.92 	###

	### jet2holiday  	#  1196.95 	###

	### sudo         	#   785.75 	###

	### 67 Random Search v2 	#   643.00 	###

	### 67           	#   603.71 	###

	### NikhilxCamilo 	#   476.61 	###

	### GigaBot      	#   411.41 	###

	### brawl_stars  	#   339.07 	###

	### orange       	#    75.40 	###

	### HTandRX's Agent 	#    40.99 	###

	### Tier 3 Agent 	#    -7.54 	###

	### qwer         	#  -272.37 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4450.38 	###

	### sudo         	#  3974.25 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2347.12 	###

	### orange       	#  2325.52 	###

	### brawl_stars  	#  1989.69 	###

	### HTandRX's Agent 	#  1865.15 	###

	### 67 Random Search v2 	#  1493.19 	###

	### jet2holiday  	#  1477.55 	###

	### NikhilxCamilo 	#  1158.53 	###

	###              	#   691.48 	###

	### 67           	#   602.71 	###

	### TA - Tier 1 Agent 	#   255.51 	###

	### RandomBot67  	#   228.93 	###

	### Tier 3 Agent 	#    -6.25 	###

	### qwer         	#  -224.04 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4253.22 	###

	### TA - Dust II B Anchor (Tier 2) 	#  4026.07 	###

	### RandomBot67  	#  3588.38 	###

	### 67 Random Search v2 	#  1780.50 	###

	### sudo         	#  1592.50 	###

	###              	#  1548.71 	###

	### qwer         	#  1319.34 	###

	### NikhilxCamilo 	#  1257.64 	###

	### HTandRX's Agent 	#  1220.83 	###

	### brawl_stars  	#   494.36 	###

	### jet2holiday  	#   432.17 	###

	### orange       	#   324.51 	###

	### Tier 3 Agent 	#   249.97 	###

	### 67           	#     0.00 	###

	### TA - Tier 1 Agent 	# -1106.50 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  2767.89 	###

	### NikhilxCamilo 	#  2379.34 	###

	### orange       	#  2190.51 	###

	### brawl_stars  	#  2130.69 	###

	### 67           	#  2061.27 	###

	### HTandRX's Agent 	#  1698.60 	###

	### sudo         	#  1628.09 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1597.11 	###

	### jet2holiday  	#  1579.97 	###

	### qwer         	#  1539.10 	###

	### GigaBot      	#  1393.83 	###

	### RandomBot67  	#   601.88 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#   -12.88 	###

	### TA - Tier 1 Agent 	#  -938.17 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  3379.84 	###

	### RandomBot67  	#  2866.65 	###

	### GigaBot      	#  2808.72 	###

	### 67           	#  2760.21 	###

	###              	#  2582.26 	###

	### sudo         	#  2087.20 	###

	### brawl_stars  	#  2085.61 	###

	### 67 Random Search v2 	#  1900.02 	###

	### HTandRX's Agent 	#  1345.90 	###

	### qwer         	#  1274.90 	###

	### NikhilxCamilo 	#   595.50 	###

	### Tier 3 Agent 	#    -4.45 	###

	### jet2holiday  	#  -179.30 	###

	### orange       	# -1224.26 	###

	### TA - Tier 1 Agent 	# -1711.98 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  2716.71 	###

	### jet2holiday  	#  2404.02 	###

	### 67 Random Search v2 	#  2025.02 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1838.79 	###

	### 67           	#  1770.21 	###

	### qwer         	#  1552.97 	###

	### brawl_stars  	#  1426.92 	###

	### GigaBot      	#  1394.24 	###

	### RandomBot67  	#  1089.08 	###

	### HTandRX's Agent 	#   556.72 	###

	### NikhilxCamilo 	#   440.24 	###

	###              	#   133.28 	###

	### Tier 3 Agent 	#    -2.80 	###

	### orange       	#  -630.36 	###

	### TA - Tier 1 Agent 	#  -680.84 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  3431.45 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3158.71 	###

	### GigaBot      	#  2611.79 	###

	### RandomBot67  	#  2411.91 	###

	### sudo         	#  2107.48 	###

	### 67 Random Search v2 	#  1645.31 	###

	### jet2holiday  	#  1627.38 	###

	### qwer         	#  1597.51 	###

	### HTandRX's Agent 	#  1371.35 	###

	### orange       	#     0.39 	###

	### 67           	#     0.00 	###

	### Tier 3 Agent 	#    -4.03 	###

	### NikhilxCamilo 	#  -106.98 	###

	### brawl_stars  	#  -481.79 	###

	### TA - Tier 1 Agent 	# -1009.59 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  2390.88 	###

	### brawl_stars  	#  2241.08 	###

	### sudo         	#  2061.21 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1962.03 	###

	### 67           	#  1845.58 	###

	### orange       	#  1159.59 	###

	### qwer         	#   672.90 	###

	### 67 Random Search v2 	#   355.99 	###

	### NikhilxCamilo 	#   351.69 	###

	### HTandRX's Agent 	#   227.82 	###

	### Tier 3 Agent 	#    -6.61 	###

	### RandomBot67  	#   -56.64 	###

	### GigaBot      	#  -111.76 	###

	### TA - Tier 1 Agent 	#  -403.52 	###

	### jet2holiday  	#  -441.06 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  4164.54 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3902.45 	###

	### jet2holiday  	#  3688.39 	###

	###              	#  2884.70 	###

	### GigaBot      	#  1558.00 	###

	### brawl_stars  	#  1536.14 	###

	### HTandRX's Agent 	#  1062.34 	###

	### RandomBot67  	#   892.12 	###

	### qwer         	#   130.98 	###

	### Tier 3 Agent 	#     9.05 	###

	### 67           	#     0.00 	###

	### NikhilxCamilo 	#   -16.32 	###

	### 67 Random Search v2 	#   -62.23 	###

	### orange       	# -1395.90 	###

	### TA - Tier 1 Agent 	# -1911.09 	###

	###########################################

	@@@ WINNER: sudo @@@
Error getting ad bids from agent NikhilxCamilo: 

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  6704.40 	###

	### brawl_stars  	#  5714.11 	###

	### NikhilxCamilo 	#  4849.25 	###

	### sudo         	#  4061.98 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2575.74 	###

	### GigaBot      	#  2221.91 	###

	### qwer         	#  1507.55 	###

	### 67 Random Search v2 	#  1199.37 	###

	### 67           	#  1105.70 	###

	### jet2holiday  	#   973.43 	###

	### RandomBot67  	#   126.87 	###

	### HTandRX's Agent 	#    -3.16 	###

	### Tier 3 Agent 	#    -9.95 	###

	### TA - Tier 1 Agent 	#  -363.75 	###

	### orange       	#  -791.13 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  3682.45 	###

	### HTandRX's Agent 	#  3067.52 	###

	### qwer         	#  2441.21 	###

	### TA - Tier 1 Agent 	#  2091.94 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1965.24 	###

	### RandomBot67  	#  1882.31 	###

	### orange       	#  1567.91 	###

	### 67           	#  1289.25 	###

	### GigaBot      	#  1226.10 	###

	### 67 Random Search v2 	#   895.90 	###

	### jet2holiday  	#   595.54 	###

	### brawl_stars  	#   170.88 	###

	### Tier 3 Agent 	#    -2.51 	###

	### NikhilxCamilo 	#    -8.71 	###

	### sudo         	#   -27.24 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  5337.06 	###

	### RandomBot67  	#  5022.27 	###

	### brawl_stars  	#  2960.15 	###

	### HTandRX's Agent 	#  2874.95 	###

	###              	#  1832.40 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1400.08 	###

	### sudo         	#  1188.71 	###

	### qwer         	#  1146.65 	###

	### 67           	#   917.73 	###

	### 67 Random Search v2 	#   715.10 	###

	### orange       	#   363.71 	###

	### NikhilxCamilo 	#   225.77 	###

	### TA - Tier 1 Agent 	#   156.60 	###

	### jet2holiday  	#    34.05 	###

	### Tier 3 Agent 	#    -7.98 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3033.72 	###

	###              	#  2974.24 	###

	### qwer         	#  2778.65 	###

	### HTandRX's Agent 	#  2057.95 	###

	### sudo         	#  1596.58 	###

	### 67 Random Search v2 	#  1352.31 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1338.54 	###

	### brawl_stars  	#  1165.43 	###

	### GigaBot      	#   925.28 	###

	### RandomBot67  	#   850.66 	###

	### 67           	#   775.57 	###

